Order_ID,Order_Date,Country,Product,Category,Quantity,Unit_Price,Revenue
80,30-03-2024,UK,Tablet,Electronics,2,370,740
81,25-01-2024,Australia,Office Chair,Furniture,1,222,222
82,13-06-2022,India,Office Chair,Furniture,2,234,468
83,16-08-2022,Germany,Office Chair,Furniture,1,260,260
84,20-04-2024,Germany,Desk,Furniture,3,339,1017
85,17-07-2022,France,Headphones,Accessories,1,154,154
86,02-03-2024,Canada,Monitor,Electronics,3,258,774
87,27-11-2023,Australia,Monitor,Electronics,5,301,1505
88,02-07-2022,Canada,Laptop,Electronics,1,883,883
89,21-03-2023,Australia,Laptop,Electronics,1,926,926
90,08-06-2023,India,Monitor,Electronics,4,327,1308
91,18-09-2022,USA,Office Chair,Furniture,5,224,1120
92,05-04-2024,Germany,Office Chair,Furniture,1,266,266
93,12-11-2023,Australia,Monitor,Electronics,4,258,1032
94,04-11-2022,Canada,Monitor,Electronics,1,342,342
95,15-12-2023,Canada,Office Chair,Furniture,3,251,753
96,12-11-2023,France,Tablet,Electronics,2,403,806
97,05-11-2022,France,Tablet,Electronics,5,422,2110
98,04-08-2022,France,Laptop,Electronics,3,886,2658
99,29-03-2023,Germany,Monitor,Electronics,4,306,1224
100,28-03-2022,Canada,Desk,Furniture,2,384,768
101,29-08-2022,Canada,Monitor,Electronics,1,346,346
102,26-01-2022,USA,Headphones,Accessories,2,88,176
103,20-05-2024,India,Headphones,Accessories,4,148,592
104,13-08-2023,Germany,Desk,Furniture,4,380,1520
105,07-09-2022,UK,Office Chair,Furniture,4,251,1004
106,12-03-2023,Germany,Laptop,Electronics,1,949,949
107,21-02-2022,Germany,Tablet,Electronics,5,409,2045
108,31-03-2024,Brazil,Smartphone,Electronics,4,567,2268
109,14-04-2024,France,Monitor,Electronics,4,328,1312
110,01-06-2024,Brazil,Desk,Furniture,2,395,790
111,11-09-2022,Canada,Desk,Furniture,3,396,1188
112,27-03-2023,India,Desk,Furniture,2,335,670
113,10-12-2022,Australia,Keyboard,Accessories,2,64,128
114,25-08-2022,France,Smartphone,Electronics,2,569,1138
115,01-03-2023,France,Tablet,Electronics,2,358,716
116,02-03-2023,USA,Monitor,Electronics,5,309,1545
117,28-02-2024,USA,Headphones,Accessories,4,119,476
118,27-12-2022,Canada,Office Chair,Furniture,4,200,800
119,05-02-2024,Germany,Office Chair,Furniture,4,268,1072
120,23-03-2023,Brazil,Desk,Furniture,2,334,668
121,16-11-2023,France,Laptop,Electronics,4,893,3572
122,30-09-2023,USA,Tablet,Electronics,4,366,1464
123,10-11-2023,USA,Office Chair,Furniture,5,272,1360
124,06-06-2024,Brazil,Smartphone,Electronics,4,567,2268
125,24-01-2023,Australia,Tablet,Electronics,1,383,383
126,12-12-2022,France,Headphones,Accessories,4,111,444
127,04-05-2024,India,Keyboard,Accessories,4,62,248
128,07-07-2023,USA,Desk,Furniture,1,395,395
129,12-03-2022,USA,Monitor,Electronics,2,333,666
130,09-05-2024,USA,Laptop,Electronics,2,875,1750
131,30-04-2023,India,Tablet,Electronics,2,366,732
132,20-09-2022,Australia,Headphones,Accessories,4,159,636
133,05-02-2024,India,Tablet,Electronics,5,427,2135
134,16-08-2023,USA,Tablet,Electronics,3,363,1089
135,20-01-2023,France,Keyboard,Accessories,5,116,580
136,09-12-2023,Germany,Headphones,Accessories,1,145,145
137,07-09-2023,India,Smartphone,Electronics,3,637,1911
138,15-03-2023,Australia,Laptop,Electronics,3,918,2754
139,16-12-2022,USA,Smartphone,Electronics,5,632,3160
140,20-03-2023,Australia,Office Chair,Furniture,4,213,852
141,30-06-2022,Canada,Desk,Furniture,2,355,710
142,25-04-2024,Canada,Desk,Furniture,4,355,1420
143,13-10-2022,Brazil,Monitor,Electronics,2,261,522
144,17-09-2023,France,Headphones,Accessories,4,142,568
145,21-05-2024,Australia,Monitor,Electronics,1,313,313
146,30-12-2022,Canada,Tablet,Electronics,4,377,1508
147,20-12-2023,Canada,Monitor,Electronics,3,326,978
148,29-03-2022,Germany,Laptop,Electronics,5,874,4370
149,16-02-2024,Germany,Office Chair,Furniture,4,271,1084
150,22-03-2024,USA,Desk,Furniture,4,357,1428
151,19-02-2023,Germany,Smartphone,Electronics,3,578,1734
152,30-04-2023,Australia,Keyboard,Accessories,5,77,385
153,27-12-2022,Brazil,Office Chair,Furniture,5,242,1210
154,25-08-2022,India,Keyboard,Accessories,3,62,186
155,31-01-2024,UK,Headphones,Accessories,3,85,255
156,11-05-2023,Canada,Headphones,Accessories,2,164,328
157,31-10-2022,Germany,Keyboard,Accessories,1,54,54
158,15-01-2022,UK,Monitor,Electronics,2,288,576
159,21-07-2023,Canada,Keyboard,Accessories,1,36,36
160,12-06-2024,USA,Tablet,Electronics,4,363,1452
161,28-03-2023,Australia,Keyboard,Accessories,4,91,364
162,01-06-2024,Brazil,Tablet,Electronics,1,382,382
163,19-05-2023,India,Smartphone,Electronics,1,601,601
164,10-04-2024,Canada,Laptop,Electronics,2,869,1738
165,26-07-2023,France,Smartphone,Electronics,2,565,1130
166,07-04-2023,Brazil,Headphones,Accessories,5,118,590
167,09-11-2022,USA,Keyboard,Accessories,5,84,420
168,05-08-2022,Canada,Smartphone,Electronics,2,630,1260
169,27-06-2022,India,Smartphone,Electronics,2,580,1160
170,07-04-2023,Brazil,Tablet,Electronics,1,402,402
171,23-10-2022,Canada,Keyboard,Accessories,1,59,59
172,28-08-2022,Canada,Desk,Furniture,1,387,387
173,12-07-2023,Germany,Headphones,Accessories,4,84,336
174,15-03-2022,USA,Tablet,Electronics,3,368,1104
175,06-02-2024,Canada,Tablet,Electronics,3,426,1278
176,07-12-2023,Canada,Desk,Furniture,1,359,359
177,07-07-2023,Brazil,Office Chair,Furniture,3,264,792
178,10-02-2022,France,Desk,Furniture,1,376,376
179,27-01-2022,India,Monitor,Electronics,5,282,1410
180,22-01-2022,Canada,Headphones,Accessories,5,145,725
181,16-06-2023,Brazil,Laptop,Electronics,2,910,1820
182,23-03-2023,Brazil,Keyboard,Accessories,2,104,208
183,23-02-2023,Australia,Smartphone,Electronics,4,594,2376
184,04-12-2022,France,Monitor,Electronics,1,270,270
185,15-02-2023,USA,Desk,Furniture,3,384,1152
186,16-09-2022,Australia,Desk,Furniture,1,340,340
187,24-04-2024,USA,Smartphone,Electronics,4,615,2460
188,12-07-2022,Australia,Desk,Furniture,4,306,1224
189,22-02-2022,Germany,Desk,Furniture,4,397,1588
190,22-10-2022,Brazil,Keyboard,Accessories,5,46,230
191,08-10-2023,Germany,Desk,Furniture,1,303,303
192,15-01-2022,France,Tablet,Electronics,3,420,1260
193,18-04-2023,India,Smartphone,Electronics,2,564,1128
194,26-10-2022,Canada,Tablet,Electronics,4,441,1764
195,07-09-2022,Brazil,Office Chair,Furniture,4,260,1040
196,06-09-2023,UK,Tablet,Electronics,4,374,1496
197,19-03-2024,France,Smartphone,Electronics,3,648,1944
198,20-04-2024,USA,Monitor,Electronics,5,284,1420
199,17-08-2023,Brazil,Keyboard,Accessories,3,105,315
200,11-05-2023,Australia,Tablet,Electronics,4,418,1672
201,11-07-2023,France,Monitor,Electronics,5,347,1735
202,16-12-2023,Germany,Desk,Furniture,3,324,972
203,25-02-2023,USA,Office Chair,Furniture,2,299,598
204,10-04-2024,France,Monitor,Electronics,4,340,1360
205,07-02-2022,UK,Office Chair,Furniture,2,263,526
206,13-04-2022,Brazil,Monitor,Electronics,1,306,306
207,10-06-2024,UK,Laptop,Electronics,2,902,1804
208,29-09-2022,Australia,Smartphone,Electronics,4,650,2600
209,22-05-2024,France,Office Chair,Furniture,1,242,242
210,06-02-2022,India,Monitor,Electronics,4,319,1276
211,04-02-2024,India,Headphones,Accessories,3,99,297
212,11-10-2023,India,Office Chair,Furniture,1,297,297
213,03-11-2022,USA,Desk,Furniture,2,388,776
214,28-10-2022,Australia,Laptop,Electronics,3,857,2571
215,08-09-2022,France,Monitor,Electronics,4,268,1072
216,22-03-2022,France,Tablet,Electronics,2,372,744
217,27-05-2022,Germany,Headphones,Accessories,4,144,576
218,19-09-2022,USA,Desk,Furniture,3,358,1074
219,14-07-2023,UK,Desk,Furniture,3,386,1158
220,25-08-2023,Canada,Smartphone,Electronics,4,594,2376
221,15-05-2024,Canada,Office Chair,Furniture,3,258,774
222,20-04-2022,Germany,Headphones,Accessories,4,131,524
223,12-08-2023,Canada,Office Chair,Furniture,5,245,1225
224,10-02-2023,Canada,Keyboard,Accessories,1,114,114
225,07-03-2024,USA,Laptop,Electronics,5,937,4685
226,29-03-2024,Germany,Desk,Furniture,3,399,1197
227,14-07-2022,Canada,Monitor,Electronics,2,331,662
228,24-10-2023,USA,Tablet,Electronics,1,430,430
229,17-08-2023,Australia,Keyboard,Accessories,4,34,136
230,01-12-2022,France,Tablet,Electronics,1,387,387
231,16-03-2024,Australia,Tablet,Electronics,2,366,732
232,24-04-2024,Brazil,Keyboard,Accessories,2,62,124
233,25-04-2023,India,Keyboard,Accessories,3,44,132
234,12-01-2024,France,Tablet,Electronics,2,436,872
235,15-01-2022,Canada,Monitor,Electronics,1,300,300
236,20-11-2023,Canada,Smartphone,Electronics,4,597,2388
237,23-11-2023,Germany,Office Chair,Furniture,3,213,639
238,29-07-2023,Australia,Desk,Furniture,1,379,379
239,23-04-2024,Brazil,Headphones,Accessories,1,151,151
240,24-05-2022,USA,Keyboard,Accessories,4,44,176
241,29-04-2022,India,Laptop,Electronics,3,913,2739
242,02-02-2023,Brazil,Headphones,Accessories,5,87,435
243,25-08-2023,UK,Monitor,Electronics,5,303,1515
244,23-09-2023,France,Office Chair,Furniture,1,262,262
245,15-01-2023,Germany,Keyboard,Accessories,1,118,118
246,25-05-2024,Australia,Desk,Furniture,4,330,1320
247,23-10-2023,Australia,Smartphone,Electronics,3,619,1857
248,14-07-2022,India,Laptop,Electronics,4,885,3540
249,06-08-2022,USA,Desk,Furniture,1,384,384
250,09-05-2022,Germany,Laptop,Electronics,3,881,2643
251,24-08-2023,Germany,Smartphone,Electronics,5,576,2880
252,01-06-2022,USA,Headphones,Accessories,3,169,507
253,08-07-2023,Canada,Keyboard,Accessories,2,46,92
254,06-06-2024,USA,Tablet,Electronics,1,434,434
255,19-03-2024,Germany,Tablet,Electronics,1,395,395
256,29-09-2022,USA,Monitor,Electronics,1,272,272
257,27-04-2022,India,Tablet,Electronics,4,417,1668
258,06-01-2023,India,Desk,Furniture,4,399,1596
259,22-09-2023,USA,Desk,Furniture,5,328,1640
260,01-02-2022,USA,Keyboard,Accessories,4,112,448
261,04-12-2023,India,Desk,Furniture,4,354,1416
262,24-03-2022,Australia,Desk,Furniture,4,309,1236
263,09-10-2022,Australia,Tablet,Electronics,1,366,366
264,29-10-2022,Brazil,Office Chair,Furniture,5,267,1335
265,28-04-2022,Germany,Office Chair,Furniture,1,289,289
266,28-02-2023,Australia,Office Chair,Furniture,4,229,916
267,18-01-2024,India,Desk,Furniture,4,353,1412
268,13-11-2023,Canada,Monitor,Electronics,4,290,1160
269,01-05-2023,India,Monitor,Electronics,2,337,674
270,19-03-2023,India,Smartphone,Electronics,1,561,561
271,03-03-2022,Australia,Monitor,Electronics,2,321,642
272,13-06-2024,France,Smartphone,Electronics,4,595,2380
273,16-11-2022,Australia,Laptop,Electronics,3,926,2778
274,06-08-2022,UK,Smartphone,Electronics,5,614,3070
275,25-12-2022,Australia,Desk,Furniture,2,313,626
276,20-08-2022,France,Smartphone,Electronics,3,623,1869
277,29-04-2024,Canada,Laptop,Electronics,5,934,4670
278,21-12-2023,Canada,Laptop,Electronics,2,884,1768
279,05-07-2022,UK,Monitor,Electronics,3,250,750
280,29-01-2024,USA,Office Chair,Furniture,1,218,218
281,21-01-2023,France,Smartphone,Electronics,5,577,2885
282,14-01-2023,Canada,Desk,Furniture,3,320,960
283,28-03-2022,USA,Monitor,Electronics,5,326,1630
284,25-09-2023,USA,Tablet,Electronics,2,446,892
285,09-11-2023,France,Smartphone,Electronics,3,606,1818
286,01-03-2023,Canada,Desk,Furniture,5,356,1780
287,20-12-2022,France,Headphones,Accessories,5,84,420
288,26-11-2023,Brazil,Smartphone,Electronics,3,636,1908
289,09-02-2023,USA,Keyboard,Accessories,1,58,58
290,05-08-2022,UK,Laptop,Electronics,2,888,1776
291,03-05-2022,USA,Keyboard,Accessories,3,71,213
292,13-05-2022,France,Desk,Furniture,4,322,1288
293,03-05-2024,Australia,Headphones,Accessories,5,141,705
294,13-02-2022,France,Smartphone,Electronics,4,644,2576
295,01-06-2024,Australia,Laptop,Electronics,4,859,3436
296,28-12-2023,France,Office Chair,Furniture,5,251,1255
297,22-01-2022,Australia,Keyboard,Accessories,1,81,81
298,01-05-2024,Australia,Tablet,Electronics,5,408,2040
299,07-09-2022,France,Smartphone,Electronics,4,563,2252
300,10-02-2023,Canada,Office Chair,Furniture,5,210,1050
301,08-03-2024,UK,Monitor,Electronics,2,292,584
302,27-04-2022,Germany,Smartphone,Electronics,5,631,3155
303,18-04-2024,UK,Monitor,Electronics,3,343,1029
304,20-09-2022,Germany,Headphones,Accessories,1,88,88
305,18-02-2024,India,Tablet,Electronics,5,369,1845
306,12-02-2024,Brazil,Tablet,Electronics,4,409,1636
307,27-03-2023,India,Monitor,Electronics,3,269,807
308,07-11-2022,Canada,Desk,Furniture,4,380,1520
309,17-03-2022,Canada,Laptop,Electronics,3,914,2742
310,28-02-2022,Australia,Desk,Furniture,4,304,1216
311,03-06-2024,India,Keyboard,Accessories,1,112,112
312,22-07-2023,USA,Office Chair,Furniture,4,274,1096
313,12-07-2022,Australia,Desk,Furniture,5,383,1915
314,05-03-2022,Brazil,Desk,Furniture,5,319,1595
315,28-03-2022,UK,Smartphone,Electronics,3,641,1923
316,25-03-2023,Brazil,Laptop,Electronics,2,940,1880
317,17-10-2022,France,Tablet,Electronics,3,397,1191
318,05-09-2023,USA,Office Chair,Furniture,3,286,858
319,07-04-2022,France,Monitor,Electronics,1,292,292
320,22-05-2024,UK,Keyboard,Accessories,3,122,366
321,11-11-2023,UK,Monitor,Electronics,1,324,324
322,17-12-2023,France,Monitor,Electronics,3,333,999
323,28-03-2022,Canada,Tablet,Electronics,5,440,2200
324,18-11-2023,India,Office Chair,Furniture,3,216,648
325,19-01-2022,Australia,Office Chair,Furniture,5,246,1230
326,16-12-2022,Brazil,Keyboard,Accessories,2,57,114
327,08-06-2022,India,Headphones,Accessories,2,87,174
328,29-02-2024,USA,Keyboard,Accessories,1,94,94
329,04-09-2023,France,Monitor,Electronics,5,266,1330
330,01-05-2024,UK,Tablet,Electronics,2,373,746
331,09-01-2023,Germany,Desk,Furniture,1,352,352
332,10-02-2024,Brazil,Desk,Furniture,5,336,1680
333,13-11-2022,Brazil,Headphones,Accessories,5,100,500
334,08-08-2023,Brazil,Headphones,Accessories,3,156,468
335,27-01-2023,France,Desk,Furniture,3,399,1197
336,22-05-2022,Canada,Tablet,Electronics,2,427,854
337,22-07-2023,India,Laptop,Electronics,4,897,3588
338,21-02-2024,UK,Smartphone,Electronics,3,560,1680
339,31-05-2022,France,Keyboard,Accessories,4,95,380
340,24-12-2022,USA,Smartphone,Electronics,2,607,1214
341,30-05-2023,Australia,Office Chair,Furniture,1,250,250
342,19-01-2023,Germany,Headphones,Accessories,4,80,320
343,09-05-2024,Australia,Laptop,Electronics,3,862,2586
344,21-10-2022,Brazil,Tablet,Electronics,2,354,708
345,23-09-2023,USA,Tablet,Electronics,4,407,1628
346,09-08-2022,UK,Smartphone,Electronics,1,582,582
347,23-10-2022,Germany,Office Chair,Furniture,1,299,299
348,02-09-2022,France,Keyboard,Accessories,1,36,36
349,06-05-2024,Brazil,Desk,Furniture,1,314,314
350,05-09-2022,UK,Laptop,Electronics,5,923,4615
351,22-09-2023,Australia,Keyboard,Accessories,4,30,120
352,11-07-2022,India,Headphones,Accessories,5,123,615
353,12-07-2023,USA,Monitor,Electronics,1,317,317
354,13-10-2023,France,Office Chair,Furniture,4,205,820
355,17-01-2022,Australia,Monitor,Electronics,3,345,1035
356,21-01-2024,India,Smartphone,Electronics,3,580,1740
357,27-12-2022,Australia,Monitor,Electronics,2,255,510
358,06-05-2023,UK,Tablet,Electronics,4,439,1756
359,05-03-2024,Brazil,Tablet,Electronics,1,441,441
360,14-02-2022,Germany,Laptop,Electronics,3,875,2625
361,12-06-2023,France,Laptop,Electronics,3,889,2667
362,11-02-2024,Germany,Desk,Furniture,3,304,912
363,18-02-2022,Australia,Keyboard,Accessories,3,129,387
364,24-03-2023,France,Keyboard,Accessories,1,77,77
365,11-07-2022,Brazil,Desk,Furniture,4,343,1372
366,01-10-2022,India,Desk,Furniture,3,366,1098
367,09-09-2023,UK,Office Chair,Furniture,1,255,255
368,23-03-2022,Australia,Keyboard,Accessories,3,43,129
369,10-09-2023,France,Keyboard,Accessories,3,87,261
370,03-04-2023,USA,Tablet,Electronics,4,394,1576
371,09-10-2022,USA,Monitor,Electronics,5,305,1525
372,10-06-2023,UK,Smartphone,Electronics,4,596,2384
373,26-11-2023,Brazil,Laptop,Electronics,2,927,1854
374,30-08-2022,Australia,Laptop,Electronics,2,858,1716
375,03-02-2022,UK,Monitor,Electronics,4,322,1288
376,31-03-2023,India,Desk,Furniture,3,347,1041
377,12-02-2023,Australia,Tablet,Electronics,5,396,1980
378,27-01-2022,UK,Keyboard,Accessories,2,44,88
379,30-07-2023,India,Desk,Furniture,5,349,1745
380,02-04-2023,Germany,Keyboard,Accessories,3,120,360
381,06-05-2022,UK,Keyboard,Accessories,4,55,220
382,01-01-2024,Brazil,Smartphone,Electronics,4,572,2288
383,22-12-2022,India,Smartphone,Electronics,3,635,1905
384,30-12-2023,UK,Keyboard,Accessories,3,50,150
385,05-05-2022,Germany,Monitor,Electronics,5,278,1390
386,27-01-2022,Australia,Tablet,Electronics,2,413,826
387,13-05-2022,India,Monitor,Electronics,4,320,1280
388,05-01-2024,Brazil,Smartphone,Electronics,3,600,1800
389,17-03-2022,UK,Office Chair,Furniture,4,273,1092
390,23-04-2023,Australia,Monitor,Electronics,1,307,307
391,25-08-2023,UK,Tablet,Electronics,5,431,2155
392,08-06-2024,USA,Tablet,Electronics,4,414,1656
393,08-11-2022,UK,Smartphone,Electronics,5,569,2845
394,19-08-2022,Australia,Tablet,Electronics,3,440,1320
395,21-07-2022,Canada,Keyboard,Accessories,1,62,62
396,01-07-2023,India,Tablet,Electronics,3,428,1284
397,07-06-2022,UK,Tablet,Electronics,5,424,2120
398,25-04-2024,USA,Monitor,Electronics,5,255,1275
399,29-02-2024,Canada,Smartphone,Electronics,1,632,632
400,25-09-2023,USA,Headphones,Accessories,5,123,615
401,20-10-2023,Canada,Desk,Furniture,5,337,1685
402,20-02-2023,Canada,Desk,Furniture,2,387,774
403,03-03-2022,UK,Desk,Furniture,1,388,388
404,21-04-2023,Germany,Desk,Furniture,4,361,1444
405,17-11-2022,Australia,Monitor,Electronics,5,268,1340
406,18-02-2024,Australia,Monitor,Electronics,4,266,1064
407,23-04-2023,India,Smartphone,Electronics,3,580,1740
408,25-05-2022,India,Keyboard,Accessories,4,61,244
409,03-06-2024,France,Laptop,Electronics,3,899,2697
410,15-08-2023,Australia,Headphones,Accessories,2,111,222
411,12-06-2023,Brazil,Headphones,Accessories,2,133,266
412,24-01-2022,India,Desk,Furniture,3,363,1089
413,04-09-2022,Germany,Office Chair,Furniture,5,258,1290
414,16-10-2022,Brazil,Monitor,Electronics,1,256,256
415,09-01-2022,India,Desk,Furniture,3,368,1104
416,15-01-2024,Australia,Office Chair,Furniture,2,233,466
417,15-02-2023,USA,Office Chair,Furniture,3,205,615
418,23-10-2022,India,Headphones,Accessories,3,140,420
419,22-02-2024,Canada,Office Chair,Furniture,5,257,1285
420,08-02-2023,Australia,Smartphone,Electronics,2,562,1124
421,13-02-2024,UK,Monitor,Electronics,5,296,1480
422,16-02-2023,USA,Headphones,Accessories,5,135,675
423,01-01-2024,Australia,Laptop,Electronics,1,867,867
424,02-06-2022,UK,Desk,Furniture,5,358,1790
425,16-06-2022,France,Monitor,Electronics,5,290,1450
426,04-06-2023,Brazil,Keyboard,Accessories,5,73,365
427,13-01-2023,Australia,Keyboard,Accessories,4,32,128
428,12-11-2022,USA,Smartphone,Electronics,4,624,2496
429,12-03-2024,Germany,Desk,Furniture,3,383,1149
430,24-06-2022,France,Laptop,Electronics,5,911,4555
431,10-08-2023,India,Tablet,Electronics,2,354,708
432,18-11-2022,France,Headphones,Accessories,1,126,126
433,28-07-2022,France,Tablet,Electronics,4,438,1752
434,22-05-2022,Germany,Desk,Furniture,1,390,390
435,21-01-2023,Australia,Monitor,Electronics,4,317,1268
436,17-12-2022,Australia,Tablet,Electronics,4,418,1672
437,16-07-2022,Germany,Keyboard,Accessories,5,91,455
438,19-08-2022,Canada,Keyboard,Accessories,5,68,340
439,23-12-2023,Brazil,Keyboard,Accessories,2,118,236
440,28-07-2023,Canada,Monitor,Electronics,4,294,1176
441,24-11-2023,France,Keyboard,Accessories,1,103,103
442,03-04-2024,UK,Office Chair,Furniture,3,298,894
443,02-01-2024,India,Keyboard,Accessories,1,66,66
444,20-09-2022,Brazil,Monitor,Electronics,4,333,1332
445,05-10-2022,Canada,Headphones,Accessories,2,138,276
446,29-01-2024,Germany,Tablet,Electronics,1,428,428
447,28-06-2023,Germany,Headphones,Accessories,1,155,155
448,28-02-2023,Australia,Headphones,Accessories,1,82,82
449,29-02-2024,UK,Desk,Furniture,1,387,387
450,21-02-2023,Brazil,Laptop,Electronics,5,870,4350
451,22-10-2022,Australia,Desk,Furniture,2,396,792
452,02-04-2022,Germany,Keyboard,Accessories,1,128,128
453,07-05-2024,UK,Laptop,Electronics,2,903,1806
454,23-05-2023,UK,Laptop,Electronics,4,950,3800
455,02-11-2022,India,Keyboard,Accessories,1,31,31
456,19-10-2023,Brazil,Monitor,Electronics,3,308,924
457,07-10-2022,Germany,Tablet,Electronics,5,409,2045
458,19-01-2024,Brazil,Smartphone,Electronics,3,570,1710
459,25-01-2024,Australia,Keyboard,Accessories,2,31,62
460,15-02-2024,Germany,Keyboard,Accessories,5,116,580
461,20-02-2023,France,Tablet,Electronics,5,431,2155
462,17-11-2023,India,Monitor,Electronics,1,301,301
463,28-11-2022,Germany,Tablet,Electronics,2,411,822
464,30-08-2022,Brazil,Laptop,Electronics,3,899,2697
465,20-08-2023,USA,Keyboard,Accessories,3,68,204
466,30-08-2022,USA,Keyboard,Accessories,3,118,354
467,13-06-2022,France,Smartphone,Electronics,4,589,2356
468,30-10-2022,Australia,Keyboard,Accessories,1,111,111
469,05-05-2023,UK,Headphones,Accessories,2,87,174
470,02-03-2023,Brazil,Desk,Furniture,5,347,1735
471,12-02-2024,India,Headphones,Accessories,2,157,314
472,06-01-2023,India,Desk,Furniture,5,390,1950
473,02-06-2023,Germany,Smartphone,Electronics,1,620,620
474,24-05-2024,Brazil,Tablet,Electronics,2,391,782
475,21-08-2023,Brazil,Smartphone,Electronics,2,641,1282
476,08-04-2024,USA,Smartphone,Electronics,5,607,3035
477,02-03-2023,Brazil,Desk,Furniture,2,365,730
478,20-11-2023,Canada,Laptop,Electronics,5,909,4545
